orden,linea,entrega,fecha_ingreso_inventario,fecha_aproximada_necesidad,dia_semana_aproximado,mes_aproximado,año_aproximado,fecha_entrega_real,nit_proveedor,CreationDate_proveedor,cantidad,pais,forma_envio,unidad_de_medida/U,terminos_de_pago,categoria_,STATUS_08,cumplio,dias_diferencia_entrega
77725840,12,01,2024-10-22,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,100.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,07,01,2024-10-22,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,120.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
77725840,14,01,2024-10-22,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,60.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,20,01,2024-10-22,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,110.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,24,01,2024-10-22,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,140.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
77725840,04,01,2024-10-22,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,1900.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,27,01,2024-10-22,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,10.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
77725840,11,01,2024-10-22,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,60.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,23,01,2024-10-22,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,20.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
77725840,02,01,2024-10-22,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,500.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,21,01,2024-10-22,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,500.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,CAJAS/SEPARADORES,activo,1,0
77725840,22,01,2024-10-22,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,30.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
77725840,03,01,2024-10-22,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,600.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,05,01,2024-10-22,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,102.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
77725840,13,01,2024-10-22,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,50.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,17,01,2024-10-22,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,50.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,18,01,2024-10-22,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,1000.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,19,01,2024-10-22,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,210.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,19,01,2024-10-17,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,210.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,18,01,2024-10-17,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,1000.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,17,01,2024-10-17,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,50.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,13,01,2024-10-17,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,50.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,05,01,2024-10-17,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,102.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
77724896,06,01,2024-10-17,2024-10-21,Monday,October,2024,2024-08-26,042507468,2020-09-03 14:53:06.960,11200.0,ESTADOS UNIDOS,FERREO,OZ,A 90 DIAS,LENTES Y SUS ACCESORIOS,activo,1,-56
77725840,03,01,2024-10-17,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,600.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,21,01,2024-10-17,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,500.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,CAJAS/SEPARADORES,activo,1,0
77725840,22,01,2024-10-17,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,30.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
77724896,04,01,2024-10-17,2024-07-24,Wednesday,July,2024,2024-08-26,042507468,2020-09-03 14:53:06.960,58080.0,ESTADOS UNIDOS,FERREO,OZ,A 90 DIAS,LENTES Y SUS ACCESORIOS,activo,0,33
77724896,05,01,2024-10-17,2024-07-25,Thursday,July,2024,2024-08-26,042507468,2020-09-03 14:53:06.960,320.0,ESTADOS UNIDOS,FERREO,OZ,A 90 DIAS,LENTES Y SUS ACCESORIOS,activo,0,32
77725840,27,01,2024-10-17,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,10.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
77725840,02,01,2024-10-17,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,500.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,23,01,2024-10-17,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,20.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
77725840,11,01,2024-10-17,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,60.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77724937,02,01,2024-10-17,2024-07-23,Tuesday,July,2024,2024-07-23,111806155,2022-06-15 08:19:59.597,500.0,ESTADOS UNIDOS,AEREO,OZ,A 90 DIAS,OTROS,activo,1,0
77725840,07,01,2024-10-17,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,120.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
